name,type,flavors,positive_effects,negative_effects,ailment,search
Afpak,hybrid,"Earthy, Chemical, Pine","Relaxed, Hungry, Happy, Sleepy",Dizzy,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Afpak,Relaxed, Hungry, Happy, Sleepy,Earthy, Chemical, Pine,Depression, Insomnia, Pain, Stress, Lack of Appetite"
African,sativa,"Spicy/Herbal, Pungent, Earthy","Euphoric, Happy, Creative, Energetic, Talkative",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Nausea, Headache","African,Euphoric, Happy, Creative, Energetic, Talkative,Spicy/Herbal, Pungent, Earthy,Depression, Pain, Stress, Lack of Appetite, Nausea, Headache"
Afternoon Delight,hybrid,"Pepper, Flowery, Pine","Relaxed, Hungry, Euphoric, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid","Depression, Insomnia, Pain, Stress, Cramps, Headache","Afternoon Delight,Relaxed, Hungry, Euphoric, Uplifted, Tingly,Pepper, Flowery, Pine,Depression, Insomnia, Pain, Stress, Cramps, Headache"
Afwreck,hybrid,"Pine, Earthy, Flowery","Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms","Afwreck,Relaxed, Happy, Creative, Uplifted, Sleepy,Pine, Earthy, Flowery,Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms"
Agent Orange,hybrid,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Headaches","Agent Orange,Relaxed, Euphoric, Happy, Energetic, Uplifted,Citrus, Orange, Sweet,Depression, Pain, Stress, Nausea, Headache, Headaches"
Agent Tangie,hybrid,"Skunk, Pepper, Citrus","Euphoric, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Stress, Cramps, Fatigue, Eye Pressure","Agent Tangie,Euphoric, Happy, Creative, Uplifted, Focused,Skunk, Pepper, Citrus,Depression, Stress, Cramps, Fatigue, Eye Pressure"
Alaska,sativa,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Energetic, Focused","Dizzy, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches","Alaska,Relaxed, Euphoric, Happy, Energetic, Focused,Earthy, Woody, Pungent,Depression, Pain, Stress, Lack of Appetite, Headaches"
Alaska Thunder Grape,hybrid,"Grape, Pepper, Skunk","Relaxed, Euphoric, Creative, Tingly, Focused",Not Available,"Pain, Stress, Eye Pressure","Alaska Thunder Grape,Relaxed, Euphoric, Creative, Tingly, Focused,Grape, Pepper, Skunk,Pain, Stress, Eye Pressure"
Alaskan Ice,sativa,"Earthy, Pine, Minty","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches","Alaskan Ice,Euphoric, Happy, Creative, Energetic, Uplifted,Earthy, Pine, Minty,Depression, Pain, Stress, Fatigue, Headaches"
Alaskan Thunder Fuck,sativa,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Alaskan Thunder Fuck,Relaxed, Euphoric, Happy, Energetic, Uplifted,Earthy, Woody, Pine,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Albert Walker,hybrid,"Earthy, Pine, Skunk","Relaxed, Hungry, Euphoric, Happy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Albert Walker,Relaxed, Hungry, Euphoric, Happy, Focused,Earthy, Pine, Skunk,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Alchemy,hybrid,"Cheese, Chemical, Sweet","Relaxed, Hungry, Uplifted, Tingly, Sleepy",Not Available,"Insomnia, Stress, Fatigue, Headaches, Eye Pressure","Alchemy,Relaxed, Hungry, Uplifted, Tingly, Sleepy,Cheese, Chemical, Sweet,Insomnia, Stress, Fatigue, Headaches, Eye Pressure"
Alf,hybrid,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Happy, Creative, Giggly",Dry Mouth,"Depression, Insomnia, Stress, Muscle Spasms","Alf,Relaxed, Euphoric, Happy, Creative, Giggly,Diesel, Pungent, Tropical,Depression, Insomnia, Stress, Muscle Spasms"
Alice in Wonderland,sativa,"Citrus, Grapefruit, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Stress, Lack of Appetite, Fatigue, Muscle Spasms","Alice in Wonderland,Relaxed, Euphoric, Happy, Uplifted, Focused,Citrus, Grapefruit, Earthy,Depression, Stress, Lack of Appetite, Fatigue, Muscle Spasms"
Alien Abduction,hybrid,"Earthy, Nutty, Lemon","Relaxed, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Fatigue, Headaches","Alien Abduction,Relaxed, Happy, Creative, Focused,Earthy, Nutty, Lemon,Depression, Insomnia, Lack of Appetite, Fatigue, Headaches"
Alien Apparition,hybrid,"Berry, Blueberry, Citrus","Hungry, Euphoric, Creative, Aroused",Dry Mouth,"Depression, Cramps, Fatigue, Headaches, Eye Pressure","Alien Apparition,Hungry, Euphoric, Creative, Aroused,Berry, Blueberry, Citrus,Depression, Cramps, Fatigue, Headaches, Eye Pressure"
Alien Asshat,hybrid,"Citrus, Pungent, Lemon","Euphoric, Happy, Creative, Energetic, Giggly","Dizzy, Dry Mouth","Depression, Pain, Stress, Nausea, Fatigue","Alien Asshat,Euphoric, Happy, Creative, Energetic, Giggly,Citrus, Pungent, Lemon,Depression, Pain, Stress, Nausea, Fatigue"
Alien Bubba,indica,"Earthy, Ammonia, Diesel","Relaxed, Euphoric, Sleepy, Focused, Giggly","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Lack of Appetite","Alien Bubba,Relaxed, Euphoric, Sleepy, Focused, Giggly,Earthy, Ammonia, Diesel,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Alien Dawg,indica,"Earthy, Pungent, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Nausea, Fatigue","Alien Dawg,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pungent, Spicy/Herbal,Insomnia, Pain, Stress, Nausea, Fatigue"
Alien Dutchess,sativa,"Berry, Lemon, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused",Not Available,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Alien Dutchess,Relaxed, Euphoric, Happy, Uplifted, Focused,Berry, Lemon, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Alien Hallucination,hybrid,"Chemical, Diesel, Earthy","Relaxed, Euphoric, Happy, Uplifted",Not Available,"Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms","Alien Hallucination,Relaxed, Euphoric, Happy, Uplifted,Chemical, Diesel, Earthy,Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms"
Alien Inferno,hybrid,"Pine, Diesel, Earthy","Euphoric, Happy, Creative, Energetic, Talkative",Not Available,"Depression, Pain, Stress, Lack of Appetite, Fatigue","Alien Inferno,Euphoric, Happy, Creative, Energetic, Talkative,Pine, Diesel, Earthy,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Alien Kush,indica,"Woody, Flowery, Earthy","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Alien Kush,Relaxed, Euphoric, Uplifted, Sleepy, Giggly,Woody, Flowery, Earthy,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Alien OG,hybrid,"Lemon, Flowery, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Muscle Spasms","Alien OG,Relaxed, Euphoric, Happy, Uplifted, Focused,Lemon, Flowery, Earthy,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Alien Reunion,hybrid,"Skunk, Diesel, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Pain, Lack of Appetite, Headaches, Inflammation, Muscle Spasms","Alien Reunion,Relaxed, Euphoric, Happy, Creative, Uplifted,Skunk, Diesel, Pungent,Pain, Lack of Appetite, Headaches, Inflammation, Muscle Spasms"
Alien Rift,indica,"Earthy, Chemical, Citrus","Relaxed, Hungry, Euphoric, Happy, Creative",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headaches","Alien Rift,Relaxed, Hungry, Euphoric, Happy, Creative,Earthy, Chemical, Citrus,Depression, Insomnia, Pain, Stress, Headaches"
Alien Rock Candy,hybrid,"Sweet, Earthy, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Alien Rock Candy,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Earthy, Citrus,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Alien Sour Apple,hybrid,"Apple, Orange, Ammonia","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Depression, Stress, Lack of Appetite, Muscle Spasms","Alien Sour Apple,Relaxed, Euphoric, Happy, Creative, Uplifted,Apple, Orange, Ammonia,Depression, Stress, Lack of Appetite, Muscle Spasms"
Alien Stardawg,sativa,"Earthy, Pungent, Rose","Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Stress, Lack of Appetite","Alien Stardawg,Euphoric, Happy, Creative, Uplifted,Earthy, Pungent, Rose,Depression, Stress, Lack of Appetite"
Alien Technology,indica,"Spicy/Herbal, Chemical, Woody","Relaxed, Happy, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress, Headaches","Alien Technology,Relaxed, Happy, Uplifted, Giggly,Spicy/Herbal, Chemical, Woody,Depression, Pain, Stress, Headaches"
Aliens On Moonshine,indica,"Berry, Butter, Citrus","Relaxed, Happy, Tingly, Focused",Not Available,"Depression, Stress, Headaches, Inflammation","Aliens On Moonshine,Relaxed, Happy, Tingly, Focused,Berry, Butter, Citrus,Depression, Stress, Headaches, Inflammation"
Allen Wrench,sativa,"Berry, Tropical, Mango","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea","Allen Wrench,Euphoric, Happy, Creative, Energetic, Uplifted,Berry, Tropical, Mango,Depression, Pain, Stress, Lack of Appetite, Nausea"
Allkush,indica,"Honey, Spicy/Herbal, Earthy","Relaxed, Happy, Sleepy",Dry Eyes,"Pain, Stress, Eye Pressure","Allkush,Relaxed, Happy, Sleepy,Honey, Spicy/Herbal, Earthy,Pain, Stress, Eye Pressure"
Aloha,sativa,"Tropical, Sweet, Citrus","Relaxed, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches","Aloha,Relaxed, Happy, Creative, Energetic, Uplifted,Tropical, Sweet, Citrus,Depression, Pain, Stress, Fatigue, Headaches"
Aloha Limone,hybrid,"Citrus, Earthy, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress","Aloha Limone,Relaxed, Happy, Creative, Energetic, Uplifted,Citrus, Earthy, Pungent,Depression, Pain, Stress"
